Latitude,Longitude,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,Yield,,
12.00272,75.45952,4.7,0.13,1.3,42,36,271.5,163.1,9.8,3.15,0.42,75.3,4.8,48.8,Paddy,1600,,
12.00272,75.45952,4.7,0.13,1.3,42,36,271.5,163.1,9.8,3.15,0.42,75.3,4.8,48.8,Cowpea,1045,,
12.00287,75.45960,4.5,0.14,1.5,46,77,233.5,161.9,9.1,3.5,0.41,125.4,7.63,39.7,Paddy,2800,,
12.00287,75.45960,4.5,0.14,1.5,46,77,233.5,161.9,9.1,3.5,0.41,125.4,7.63,39.7,Brinjal,2340,,
12.00308,75.45963,4.9,0.10,1.3,58,308,684.5,70.2,8.3,3.02,0.31,49.9,4.32,70.5,Paddy,1900,,
12.00308,75.45963,4.9,0.10,1.3,58,308,684.5,70.2,8.3,3.02,0.31,49.9,4.32,70.5,Tapioca,35000,,
12.00303,75.45972,4.5,0.11,1.3,41,74,448.0,104.5,12.9,2.68,0.37,80.4,5.91,49.8,Paddy,2400,,
12.00303,75.45972,4.5,0.11,1.3,41,74,448.0,104.5,12.9,2.68,0.37,80.4,5.91,49.8,Bhendi,2200,,
12.00303,75.45982,4.4,0.11,1.7,44,22,297.0,62.6,16.0,8.91,0.35,110.9,7.23,37.0,Paddy,1890,,
12.00303,75.45982,4.4,0.11,1.7,44,22,297.0,62.6,16.0,8.91,0.35,110.9,7.23,37.0,Cowpea,1050,,
12.00286,75.45995,4.3,0.09,1.7,58,26,292.5,235.4,8.5,3.29,0.41,116.8,7.25,37.3,Paddy,1700,,
12.00286,75.45995,4.3,0.09,1.7,58,26,292.5,235.4,8.5,3.29,0.41,116.8,7.25,37.3,Tomato,2340,,
12.00288,75.46008,4.2,0.10,1.4,46,45,192.0,199.3,14.5,3.2,0.44,124.4,7.58,39.8,Paddy,2100,,
12.00288,75.46008,4.2,0.10,1.4,46,45,192.0,199.3,14.5,3.2,0.44,124.4,7.58,39.8,Brinjal,4200,,
12.00296,75.46023,4.6,0.13,1.5,160,227,580.5,133.3,14.0,3.49,0.41,83.2,5.01,66.0,Paddy,2350,,
12.00296,75.46023,4.6,0.13,1.5,160,227,580.5,133.3,14.0,3.49,0.41,83.2,5.01,66.0,Tapioca,27000,,
12.00295,75.46026,4.7,0.09,1.7,84,35,347.5,56.2,9.9,3.27,0.37,132.1,9.4,46.5,Paddy,2400,,
12.00295,75.46026,4.7,0.09,1.7,84,35,347.5,56.2,9.9,3.27,0.37,132.1,9.4,46.5,Cowpea,980,,
12.00278,75.46027,4.6,0.13,1.5,136,73,456.0,123.9,15.3,3.28,0.33,100.5,5.44,18.6,Paddy,2800,,
12.00278,75.46027,4.6,0.13,1.5,136,73,456.0,123.9,15.3,3.28,0.33,100.5,5.44,18.6,Cowpea,1120,,
12.00262,75.46029,4.8,0.13,1.4,54,56,575.0,63.8,10.4,4.13,0.43,76.6,5.49,42.5,Paddy,1800,,
12.00262,75.46029,4.8,0.13,1.4,54,56,575.0,63.8,10.4,4.13,0.43,76.6,5.49,42.5,Cowpea,1000,,
12.00253,75.46046,4.5,0.08,1.2,38,286,618.5,49.5,10.9,3.66,0.41,86.5,4.87,85.9,Coconut,6800,,
12.00253,75.46046,4.5,0.08,1.2,38,286,618.5,49.5,10.9,3.66,0.41,86.5,4.87,85.9,Arecanut,1800,,
12.00253,75.46046,4.5,0.08,1.2,38,286,618.5,49.5,10.9,3.66,0.41,86.5,4.87,85.9,Banana,7800,,
12.00243,75.46023,4.6,0.13,1.7,59,29,428.0,80.2,13.6,4.17,0.41,133.8,7.14,69.8,Paddy,2120,,
12.00243,75.46023,4.6,0.13,1.7,59,29,428.0,80.2,13.6,4.17,0.41,133.8,7.14,69.8,cowpea,1000,,
12.00246,75.46008,4.7,0.10,1.8,43,9,160.0,121.5,19.1,4.39,0.32,131.4,7.27,61.7,Paddy,2350,,
12.00246,75.46008,4.7,0.10,1.8,43,9,160.0,121.5,19.1,4.39,0.32,131.4,7.27,61.7,cowpea,1400,,
12.00240,75.45981,4.9,0.10,1.7,25,19,107.0,190.1,14.8,4.38,0.42,167.8,8.23,43.9,Paddy,2600,,
12.00232,75.45966,4.6,0.31,2.2,33,10,107.0,202.3,14.1,4.24,0.39,181.1,8.97,36.0,Paddy,1800,,
12.00227,75.45968,4.8,0.09,1.8,38,11,232.0,162.8,14.8,4.47,0.25,151.4,7.52,51.8,Paddy,1750,,
12.00218,75.45968,4.6,0.11,1.8,40,34,546.5,32.5,14.1,4.46,0.51,167.6,6.74,56.6,Paddy,2150,,
12.00211,75.45969,4.4,0.13,1.3,97,56,311.0,151.3,10.1,3.57,0.33,67.3,5.43,37.9,Paddy,1900,,
12.00207,75.45966,5.3,0.10,1.5,47,17,533.5,40.4,17.6,3.6,0.35,101.8,7.32,43.6,Paddy,2100,,
12.00189,75.45960,4.9,0.09,1.3,94,161,742.0,35.2,14.3,4.57,0.44,110.0,7.08,56.5,Paddy,2000,,
12.00170,75.45935,4.8,0.16,1.7,46,22,251.5,151.0,20.8,3.57,0.35,145.0,7.6,35.9,Paddy,2300,,
12.00164,75.45930,6.1,0.12,2.1,46,46,163.0,156.1,15.1,4.28,0.42,234.8,8.39,37.1,Paddy,2125,,
12.00149,75.45921,4.7,0.10,1.8,38,17,251.0,139.1,10.4,4.89,0.32,192.2,8.36,37.7,Paddy,2200,,
12.00137,75.45911,4.5,0.12,2.0,37,18,257.5,135.2,13.4,5.62,0.33,119.3,8.53,49.6,Paddy,1900,,
12.00119,75.45900,5.1,0.09,1.0,42,67,641.5,47.7,21.9,2.21,0.42,26.9,2.52,17.2,Paddy,1850,,
12.00112,75.45889,4.7,0.09,1.4,38,401,499.5,158.3,37.5,3.15,0.31,30.7,4.92,60.2,Paddy,2345,,
12.00094,75.45882,4.4,0.09,1.6,34,124,372.5,101.8,10.8,5.57,0.27,89.2,7.13,33.6,Paddy,2150,,
12.00056,75.45885,4.7,0.12,1.6,39,136,418.5,110.3,16.6,3.78,0.35,125.3,7.63,42.7,Paddy,2200,,
12.00046,75.45886,5.1,0.09,1.7,34,101,305.0,106.3,12.4,3.54,0.29,74.2,5.52,40.0,Paddy,1800,,
12.00031,75.45885,4.8,0.11,1.5,26,113,362.5,95.7,9.6,6.92,0.25,454.5,11.93,103.5,Paddy,1900,,
12.00002,75.45850,4.7,0.42,1.8,30,134,305.5,81.7,11.0,11.35,0.33,373.2,12.17,70.2,Paddy,2000,,
11.99995,75.45845,5.3,0.12,1.4,44,164,348.5,92.0,17.1,8.65,0.25,514.7,14.24,108.6,Paddy,1750,,
12.00017,75.45865,4.7,0.11,1.4,33,108,417.0,86.9,11.8,8.05,0.24,367.6,11.45,121.3,Paddy,2250,,
11.99996,75.45842,4.5,0.15,1.8,29,139,325.0,69.9,14.3,7.63,0.28,511.2,12.55,85.1,Paddy,2200,,
12.00007,75.45836,4.5,0.09,1.7,30,108,294.0,100.8,27.5,4.96,0.26,371.2,8.24,106.5,Paddy,1875,,
12.00008,75.45836,5.0,0.12,1.5,35,109,363.0,58.9,27.6,8.94,0.25,280.2,12.9,144.6,Paddy,1950,,
12.00024,75.45833,4.7,0.08,1.3,47,165,742.0,168.9,25.6,7.51,0.42,214.4,10.54,89.8,Paddy,2250,,
12.00075,75.45834,4.8,0.09,1.4,27,110,360.5,96.9,13.6,6.38,0.23,306.6,12.49,98.3,Paddy,2150,,
12.00084,75.45836,4.7,0.10,1.7,27,156,364.0,94.8,12.9,7.75,0.25,267.6,14.38,55.0,Paddy,2100,,
12.00103,75.45836,4.8,0.12,1.3,26,104,360.5,84.7,10.4,6.94,0.24,243.6,12.24,59.6,Paddy,1950,,
12.00156,75.45819,4.5,0.13,1.6,34,115,348.5,104.2,14.9,7.31,0.25,256.9,13.72,120.8,Paddy,1600,,
12.00119,75.45900,4.7,0.56,1.2,35,104,409.0,91.7,26.5,9.18,0.34,325.7,12.89,128.6,Paddy,1780,,
12.00158,75.45840,5.4,0.13,1.5,33,270,518.0,171.3,19.8,7.65,0.37,221.5,11.07,79.2,Paddy,2250,,
12.00191,75.45825,4.8,0.09,1.7,30,101,368.0,55.9,26.9,5.95,0.22,251.2,13.06,53.9,Paddy,2150,,
12.00183,75.45816,5.2,0.15,1.7,52,221,546.0,130.0,38.8,8.41,0.28,685.1,13.03,43.1,Paddy,2200,,
12.00183,75.45794,5.7,0.08,1.2,34,174,555.5,160.7,13.1,5.35,0.29,571.1,11.5,53.0,Paddy,2350,,
12.0021,75.45791,5.2,0.13,1.5,44,256,476.0,148.2,15.8,6.02,0.42,671.8,12,78.9,Paddy,1900,,
12.00156,75.45819,5.6,0.15,1.4,28,127,625.5,276.1,22.0,6.46,0.37,611.6,9.58,97.9,Paddy,2100,,
12.00306,75.45908,5.7,0.14,1.3,41,316,546.5,166.2,11.5,6.05,0.35,600.8,11.38,196.2,Paddy,2350,,
12.00308,75.45875,5.2,0.08,1.1,33,132,483.0,168.3,11.4,5.89,0.35,525.9,10.03,199.8,Paddy,2800,,
12.00323,75.45889,5.8,0.19,1.4,37,190,676.5,184.4,11.8,6.16,0.31,719.0,11.68,239.1,Paddy,1450,,
12.0034,75.45887,6.5,0.12,1.3,37,101,876.0,257.6,15.3,6.48,0.42,767.6,13.06,232.8,Paddy,5400,,
12.00299,75.4587,6.1,0.20,1.3,37,212,669.5,200.8,13.5,6.7,0.33,630.0,13.48,264.3,Paddy,3450,,
12.00256,75.45901,5.9,0.15,0.7,25,153,614.5,222.0,13.0,6.95,0.33,760.1,13.56,237.7,paddy,1750,,
12.00344,75.45911,5.3,0.16,1.5,36,221,507.0,178.0,12.8,6.88,0.31,870.6,12.64,289.9,Tapioca,28000,,
12.00462,75.4548,6.5,0.22,1.2,53,532,891.0,163.4,25.5,6.63,0.36,356.9,29.9,148.5,Rubber,1750,,
12.00448,75.45452,6.0,0.04,0.6,26,246,377.0,62.6,5.6,4.38,0.53,276.0,3.55,127.2,Rubber,1450,,
12.00457,75.45438,5.5,0.05,1.6,23,217,257.0,62.6,25.5,3.29,0.26,105.4,1.9,115.8,Rubber,1800,,
12.00459,75.45455,5.1,0.05,1.4,21,240,185.0,9.1,11.6,2.47,0.29,115.1,2.18,116.0,Coconut,7400,,
12.00426,75.45435,6.5,0.25,1.8,130,707,1106.0,458.1,6.0,12.06,0.25,519.8,19.88,111.9,Rubber,1500,,
12.00455,75.45444,5.9,0.27,1.4,28,243,325.5,81.7,9.6,4.06,0.34,250.6,2.98,105.5,Rubber,1350,,
11.96243,75.45541,5.3,0.06,1.7,23,336,301.0,108.7,8.8,4.03,0.37,108.5,1.01,256.1,Rubber,1700,,
11.96185,75.45274,4.8,0.07,1.9,31,103,251.0,54.1,8.8,6.35,0.29,844.4,9.42,104.9,Paddy,4200,,
11.96185,75.45274,4.8,0.07,1.9,31,103,251.0,54.1,8.8,6.35,0.29,844.4,9.42,104.9,Brinjal,2950,,
11.96247,75.45567,5.5,0.17,1.5,31,71,360.5,24.0,19.4,5.02,0.25,784.6,7.64,225.3,Paddy,2800,,
11.96247,75.45567,5.5,0.17,1.5,31,71,360.5,24.0,19.4,5.02,0.25,784.6,7.64,225.3,Brinjal,3400,,
11.96208,75.45375,5.9,0.06,1.0,26,80,303.5,10.0,9.9,2.15,0.29,84.9,2.97,35.4,Paddy,2700,,
11.96208,75.45375,5.9,0.06,1.0,26,80,303.5,10.0,9.9,2.15,0.29,84.9,2.97,35.4,Brinjal,3100,,
11.96231,75.45521,5.6,0.05,1.7,32,92,163.5,58.6,11.0,2.73,0.36,109.5,4.9,62.0,Paddy,2300,,
11.96193,75.45322,5.0,0.06,1.1,136,121,124.0,58.3,14.3,3.28,0.33,136.1,5.61,21.7,Paddy,2200,,
11.96193,75.45322,5.0,0.06,1.1,136,121,124.0,58.3,14.3,3.28,0.33,136.1,5.61,21.7,Bhendi,6200,,
11.96301,75.45477,5.9,0.08,0.7,41,206,234.5,39.8,12.6,2.32,0.42,9.7,0.95,20.8,Coconut,7800,,
11.96245,75.45549,5.5,0.07,1.5,49,109,212.0,102.1,15.0,2.84,0.35,121.0,3.79,7.7,Paddy,2150,,
11.96245,75.45549,5.5,0.07,1.5,49,109,212.0,102.1,15.0,2.84,0.35,121.0,3.79,7.7,Brinjal,4800,,
11.96203,75.45385,5.1,0.15,1.2,121,128,125.5,69.6,10.1,3.45,0.53,125.2,4.84,70.8,Paddy,1850,,
11.96203,75.45385,5.1,0.15,1.2,121,128,125.5,69.6,10.1,3.45,0.53,125.2,4.84,70.8,Cowpea,1080,,
11.96194,75.45233,5.7,0.08,1.4,39,84,319.5,61.1,11.8,3.01,0.36,92.0,3.11,14.6,Paddy,2000,,
11.96245,75.45557,5.9,0.06,0.9,37,85,234.0,40.1,6.5,2.71,0.44,77.7,2.53,7.6,Paddy,1860,,
11.96251,75.45592,5.5,0.05,1.6,41,90,309.0,103.9,18.0,3.4,0.34,135.4,4.52,31.4,Paddy,1800,,
11.96186,75.45390,5.4,0.16,1.9,48,88,309.0,103.9,19.8,2.33,0.33,163.9,5.48,22.3,Paddy,2350,,
11.96215,75.45457,5.4,0.13,1.8,50,111,387.5,80.5,10.8,3.22,0.33,141.8,6.03,15.3,Paddy,1750,,
11.96210,75.45400,5.6,0.16,1.8,57,93,329.0,103.9,11.6,2.83,0.38,179.5,6.4,15.5,Paddy,2100,,
11.96290,75.45566,5.1,0.20,1.4,65,138,193.0,125.8,25.6,4.45,0.33,141.9,4.76,18.4,Arecanut,2000,,
11.96183,75.45368,5.0,0.19,1.4,46,134,203.5,82.9,17.4,4.9,0.34,209.6,5.59,15.3,Paddy,2350,,
11.98265,75.44722,5.2,0.10,1.3,33,421,644.0,19.5,12.1,3.81,0.28,81.4,4.51,37.9,Paddy,2150,,
11.98566,75.45010,6.5,0.17,1.3,108,94,208.0,529.7,21.1,25.29,2.10,70.0,3.15,39.3,Paddy,2200,,
11.98453,75.44811,5.3,0.08,0.9,103,87,136.0,51.0,22.8,2.31,4.38,238.3,2.67,37.6,Paddy,2460,,
11.98540,75.45136,5.3,0.08,0.8,48,65,112.5,41.0,17.0,1.98,3.75,155.0,3.13,137.0,Paddy,2000,,
11.98389,75.44712,5.3,0.10,1.1,44,105,138.5,49.5,13.9,2.51,3.62,136.2,3.79,19.4,Paddy,2150,,
11.98390,75.44923,5.3,0.05,1.1,82,80,112.5,53.2,25.6,2.96,3.93,137.1,3.2,6.2,Paddy,2250,,
11.98412,75.44968,5.4,0.06,0.8,27,65,138.5,61.7,11.5,2.61,4.38,144.4,2.6,11.7,Paddy,1650,,
11.98435,75.44775,5.4,0.20,1.0,78,205,154.0,52.2,13.1,2.49,3.79,81.2,2.04,26.4,Paddy,1800,,
11.98460,75.45050,5.5,0.05,1.0,41,71,99.5,36.8,11.9,35.42,0.50,115.7,3.45,26.7,Paddy,1980,,
11.98367,75.44670,5.0,0.11,1.6,38,85,138.5,49.5,14.6,15.86,0.38,142.7,6.04,17.3,Paddy,4150,,
11.98342,75.44669,5.1,0.09,1.4,37,86,163.5,70.8,14.8,2.03,0.35,125.7,5.66,21.5,Paddy,2350,,
11.98559,75.45116,5.3,0.06,1.1,64,95,112.5,65.3,10.9,1.79,0.43,60.2,3.28,11.9,Paddy,2150,,
11.98476,75.44864,5.1,0.10,1.6,60,104,112.0,29.2,13.5,2.45,0.41,115.0,3.26,12.6,Paddy,2200,,
11.98269,75.44742,5.0,0.10,1.4,54,86,154.5,76.2,16.0,3.04,0.40,88.6,4.44,11.0,Paddy,2000,,
11.98327,75.44701,5.5,0.07,1.6,69,109,114.5,27.6,14.4,2.19,0.38,148.6,4.42,7.8,Paddy,1850,,
11.98356,75.44852,4.9,0.08,2.0,61,92,139.5,85.4,11.4,3.86,0.45,182.7,7.86,16.0,Paddy,2950,,
11.98448,75.44798,5.1,0.10,0.7,90,73,99.5,73.2,13.0,2.37,0.37,228.9,2.7,16.8,Paddy,1650,,
11.98360,75.44665,5.0,0.08,1.4,75,83,125.5,106.0,18.1,2.19,0.45,143.9,5.24,13.2,Paddy,2300,,
11.98540,75.45042,5.4,0.03,1.1,62,73,149.5,6.4,8.6,2.01,0.45,29.3,3.28,18.3,Paddy,2150,,
11.98287,75.44778,5.0,0.07,0.5,64,62,107.0,80.8,9.4,1.66,0.33,100.5,1.59,12.5,Paddy,1800,,
11.98302,75.44809,5.4,0.25,1.5,61,148,295.0,136.7,22.6,5.25,0.43,198.7,5.09,17.0,Paddy,1900,,
11.98460,75.44818,5.1,0.07,1.0,46,82,125.5,93.9,13.0,1.8,0.44,90.3,2.07,46.5,Paddy,1850,,
11.98293,75.44756,5.2,0.12,2.0,78,160,225.5,106.0,12.3,4.84,3.71,110.2,7.1,23.6,Paddy,3500,,
11.98543,75.45042,5.3,0.09,1.7,61,216,187.0,80.8,11.8,2.59,0.46,75.3,3.42,38.7,Paddy,2100,,
11.98424,75.45011,5.2,0.05,1.4,53,100,86.0,57.1,12.3,2.73,0.33,77.8,3.87,27.7,Paddy,2200,,
11.98555,75.45010,5.1,0.10,1.6,50,109,213.5,76.8,14.4,5.32,0.36,301.6,7.28,14.8,Paddy,2450,,
11.96301,75.45477,5.6,0.07,1.5,41,323,332.5,77.5,15.1,1.54,0.36,7.4,1.26,53.8,Coconut,7800,,
11.96301,75.45477,5.6,0.07,1.5,41,323,332.5,77.5,15.1,1.54,0.36,7.4,1.26,53.8,Arecanut,1750,,
,,,,,,,,,,,,,,,,,,
